callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model
82446142.0,1.0,WHITE,82446957.0,22.0,1626064474376622.0,3772.0,1626064556818992.0,1626064556819807.0,82652290.0,22.0,LIGHT,1626064474242993.0,2074.0,1626064556893209.0,73402.0,74217.0,Samsung SM-S111DL
82949066.0,0.0,BLACK,82949669.0,23.0,1626064474376622.0,3772.0,1626064557321916.0,1626064557322519.0,83171970.0,23.0,DARK,1626064474242993.0,2074.0,1626064557412889.0,90370.0,90973.0,Samsung SM-S111DL
83449366.0,1.0,WHITE,83450070.0,24.0,1626064474376622.0,3772.0,1626064557822216.0,1626064557822920.0,83655812.0,24.0,LIGHT,1626064474242993.0,2074.0,1626064557896731.0,73811.0,74515.0,Samsung SM-S111DL
83952498.0,0.0,BLACK,83953097.0,25.0,1626064474376622.0,3772.0,1626064558325348.0,1626064558325947.0,84175490.0,25.0,DARK,1626064474242993.0,2074.0,1626064558416409.0,90462.0,91061.0,Samsung SM-S111DL
84454544.0,1.0,WHITE,84455151.0,26.0,1626064474376622.0,3772.0,1626064558827394.0,1626064558828001.0,84641410.0,26.0,LIGHT,1626064474242993.0,2074.0,1626064558882329.0,54328.0,54935.0,Samsung SM-S111DL
84956948.0,0.0,BLACK,84957555.0,27.0,1626064474376622.0,3772.0,1626064559329798.0,1626064559330405.0,85179010.0,27.0,DARK,1626064474242993.0,2074.0,1626064559419929.0,89524.0,90131.0,Samsung SM-S111DL
85459707.0,1.0,WHITE,85460316.0,28.0,1626064474376622.0,3772.0,1626064559832557.0,1626064559833166.0,85644930.0,28.0,LIGHT,1626064474242993.0,2074.0,1626064559885849.0,52683.0,53292.0,Samsung SM-S111DL
85962419.0,0.0,BLACK,85963026.0,29.0,1626064474376622.0,3772.0,1626064560335269.0,1626064560335876.0,86182530.0,29.0,DARK,1626064474242993.0,2074.0,1626064560423449.0,87573.0,88180.0,Samsung SM-S111DL
86465018.0,1.0,WHITE,86465628.0,30.0,1626064474376622.0,3772.0,1626064560837868.0,1626064560838478.0,86666370.0,30.0,LIGHT,1626064474242993.0,2074.0,1626064560907289.0,68811.0,69421.0,Samsung SM-S111DL
86966652.0,0.0,BLACK,86967234.0,31.0,1626064474376622.0,3772.0,1626064561339502.0,1626064561340084.0,87186050.0,31.0,DARK,1626064474242993.0,2074.0,1626064561426969.0,86885.0,87467.0,Samsung SM-S111DL
87468168.0,1.0,WHITE,87468779.0,32.0,1626064474376622.0,3772.0,1626064561841018.0,1626064561841629.0,87669890.0,32.0,LIGHT,1626064474242993.0,2074.0,1626064561910809.0,69180.0,69791.0,Samsung SM-S111DL
87969925.0,0.0,BLACK,87970532.0,33.0,1626064474376622.0,3772.0,1626064562342775.0,1626064562343382.0,88171650.0,33.0,DARK,1626064474242993.0,2074.0,1626064562412569.0,69187.0,69794.0,Samsung SM-S111DL
88472672.0,1.0,WHITE,88473336.0,34.0,1626064474376622.0,3772.0,1626064562845522.0,1626064562846186.0,88655490.0,34.0,LIGHT,1626064474242993.0,2074.0,1626064562896409.0,50223.0,50887.0,Samsung SM-S111DL
88975766.0,0.0,BLACK,88976515.0,35.0,1626064474376622.0,3772.0,1626064563348616.0,1626064563349365.0,89193090.0,35.0,DARK,1626064474242993.0,2074.0,1626064563434009.0,84644.0,85393.0,Samsung SM-S111DL
89478185.0,1.0,WHITE,89478786.0,36.0,1626064474376622.0,3772.0,1626064563851035.0,1626064563851636.0,89676930.0,36.0,LIGHT,1626064474242993.0,2074.0,1626064563917849.0,66213.0,66814.0,Samsung SM-S111DL
89979307.0,0.0,BLACK,89979915.0,37.0,1626064474376622.0,3772.0,1626064564352157.0,1626064564352765.0,90196610.0,37.0,DARK,1626064474242993.0,2074.0,1626064564437529.0,84764.0,85372.0,Samsung SM-S111DL
90479895.0,1.0,WHITE,90480493.0,38.0,1626064474376622.0,3772.0,1626064564852745.0,1626064564853343.0,90680450.0,38.0,LIGHT,1626064474242993.0,2074.0,1626064564921369.0,68026.0,68624.0,Samsung SM-S111DL
90980831.0,0.0,BLACK,90981438.0,39.0,1626064474376622.0,3772.0,1626064565353681.0,1626064565354288.0,91200130.0,39.0,DARK,1626064474242993.0,2074.0,1626064565441049.0,86761.0,87368.0,Samsung SM-S111DL
91482170.0,1.0,WHITE,91482772.0,40.0,1626064474376622.0,3772.0,1626064565855020.0,1626064565855622.0,91683970.0,40.0,LIGHT,1626064474242993.0,2074.0,1626064565924889.0,69267.0,69869.0,Samsung SM-S111DL
91983602.0,0.0,BLACK,91984220.0,41.0,1626064474376622.0,3772.0,1626064566356452.0,1626064566357070.0,92203650.0,41.0,DARK,1626064474242993.0,2074.0,1626064566444569.0,87499.0,88117.0,Samsung SM-S111DL
92484529.0,1.0,WHITE,92485086.0,42.0,1626064474376622.0,3772.0,1626064566857379.0,1626064566857936.0,92687490.0,42.0,LIGHT,1626064474242993.0,2074.0,1626064566928409.0,70473.0,71030.0,Samsung SM-S111DL
92985755.0,0.0,BLACK,92986307.0,43.0,1626064474376622.0,3772.0,1626064567358605.0,1626064567359157.0,93207172.0,43.0,DARK,1626064474242993.0,2074.0,1626064567448091.0,88934.0,89486.0,Samsung SM-S111DL
93486293.0,1.0,WHITE,93487073.0,44.0,1626064474376622.0,3772.0,1626064567859143.0,1626064567859923.0,93691011.0,44.0,LIGHT,1626064474242993.0,2074.0,1626064567931930.0,72007.0,72787.0,Samsung SM-S111DL
93987930.0,0.0,BLACK,93988569.0,45.0,1626064474376622.0,3772.0,1626064568360780.0,1626064568361419.0,94210690.0,45.0,DARK,1626064474242993.0,2074.0,1626064568451609.0,90190.0,90829.0,Samsung SM-S111DL
94487619.0,1.0,WHITE,94488246.0,46.0,1626064474376622.0,3772.0,1626064568860469.0,1626064568861096.0,94694530.0,46.0,LIGHT,1626064474242993.0,2074.0,1626064568935449.0,74353.0,74980.0,Samsung SM-S111DL
94990386.0,0.0,BLACK,94990985.0,47.0,1626064474376622.0,3772.0,1626064569363236.0,1626064569363835.0,95214210.0,47.0,DARK,1626064474242993.0,2074.0,1626064569455129.0,91294.0,91893.0,Samsung SM-S111DL
95492250.0,1.0,WHITE,95492869.0,48.0,1626064474376622.0,3772.0,1626064569865100.0,1626064569865719.0,95698050.0,48.0,LIGHT,1626064474242993.0,2074.0,1626064569938969.0,73250.0,73869.0,Samsung SM-S111DL
95995575.0,0.0,BLACK,95996181.0,49.0,1626064474376622.0,3772.0,1626064570368425.0,1626064570369031.0,96217730.0,49.0,DARK,1626064474242993.0,2074.0,1626064570458649.0,89618.0,90224.0,Samsung SM-S111DL
96496742.0,1.0,WHITE,96497347.0,50.0,1626064474376622.0,3772.0,1626064570869592.0,1626064570870197.0,96701570.0,50.0,LIGHT,1626064474242993.0,2074.0,1626064570942489.0,72292.0,72897.0,Samsung SM-S111DL
,,,,,,,,,97794690.0,51.0,DARK,1626064474242993.0,2074.0,1626064572035609.0,,,Samsung SM-S111DL
