index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
31,59484169,1626152401941118,1119,1626152461424168,0,DOWN,59491256,59495535,31,0.11840026,0.11840026,1626152401955457,3581,1626152461443132,1626152461447411,18964,23243,TINNO Wiko U614AS
32,59984167,1626152401941118,1119,1626152461924166,0,DOWN,59988593,59993357,32,0.11840026,0.11840026,1626152401955457,3581,1626152461940469,1626152461945233,16303,21067,TINNO Wiko U614AS
33,60484167,1626152401941118,1119,1626152462424166,0,DOWN,60486579,60490997,33,0.11840026,0.11840026,1626152401955457,3581,1626152462438455,1626152462442873,14289,18707,TINNO Wiko U614AS
34,60984168,1626152401941118,1119,1626152462924167,0,DOWN,60984496,60988081,34,0.11840026,0.11840026,1626152401955457,3581,1626152462936372,1626152462939957,12205,15790,TINNO Wiko U614AS
35,61484169,1626152401941118,1119,1626152463424168,0,DOWN,61498466,61501823,35,0.11143554,0.11143554,1626152401955457,3581,1626152463450342,1626152463453699,26174,29531,TINNO Wiko U614AS
36,61984167,1626152401941118,1119,1626152463924166,0,DOWN,61996919,62001640,36,0.11840026,0.11840026,1626152401955457,3581,1626152463948795,1626152463953516,24629,29350,TINNO Wiko U614AS
37,62484167,1626152401941118,1119,1626152464424166,0,DOWN,62494820,62499043,37,0.11840026,0.11840026,1626152401955457,3581,1626152464446696,1626152464450919,22530,26753,TINNO Wiko U614AS
38,62984167,1626152401941118,1119,1626152464924166,0,DOWN,62992691,62996871,38,0.11840026,0.11840026,1626152401955457,3581,1626152464944567,1626152464948747,20401,24581,TINNO Wiko U614AS
39,63484169,1626152401941118,1119,1626152465424168,0,DOWN,63488718,63491849,39,0.11840026,0.11840026,1626152401955457,3581,1626152465440594,1626152465443725,16426,19557,TINNO Wiko U614AS
40,63984167,1626152401941118,1119,1626152465924166,0,DOWN,63988765,63992941,40,0.11840026,0.11840026,1626152401955457,3581,1626152465940641,1626152465944817,16475,20651,TINNO Wiko U614AS
41,64484167,1626152401941118,1119,1626152466424166,0,DOWN,64486828,64490335,41,0.11840026,0.11840026,1626152401955457,3581,1626152466438704,1626152466442211,14538,18045,TINNO Wiko U614AS
42,64984167,1626152401941118,1119,1626152466924166,0,DOWN,64984786,64988226,42,0.11840026,0.11840026,1626152401955457,3581,1626152466936662,1626152466940102,12496,15936,TINNO Wiko U614AS
43,65484169,1626152401941118,1119,1626152467424168,0,DOWN,65482305,65485140,43,0.11840026,0.11840026,1626152401955457,3581,1626152467434181,1626152467437016,10013,12848,TINNO Wiko U614AS
44,65984167,1626152401941118,1119,1626152467924166,0,DOWN,65997221,66000628,44,0.11840026,0.11840026,1626152401955457,3581,1626152467949097,1626152467952504,24931,28338,TINNO Wiko U614AS
45,66484167,1626152401941118,1119,1626152468424166,0,DOWN,66493469,66497744,45,0.11840026,0.11840026,1626152401955457,3581,1626152468445345,1626152468449620,21179,25454,TINNO Wiko U614AS
46,66984169,1626152401941118,1119,1626152468924168,0,DOWN,66992833,66997800,46,0.11840026,0.11840026,1626152401955457,3581,1626152468944709,1626152468949676,20541,25508,TINNO Wiko U614AS
47,67484170,1626152401941118,1119,1626152469424169,0,DOWN,67488944,67492721,47,0.11840026,0.11840026,1626152401955457,3581,1626152469440820,1626152469444597,16651,20428,TINNO Wiko U614AS
48,67984170,1626152401941118,1119,1626152469924169,0,DOWN,67989015,67992935,48,0.11840026,0.11840026,1626152401955457,3581,1626152469940891,1626152469944811,16722,20642,TINNO Wiko U614AS
49,68484167,1626152401941118,1119,1626152470424166,0,DOWN,68486951,68492115,49,0.11840026,0.11840026,1626152401955457,3581,1626152470438827,1626152470443991,14661,19825,TINNO Wiko U614AS
