index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
27,60514997,1626047380998431,1745,1626047441511683,0,ACTION_DOWN,60318258,60319778,27,51.54296875,51.54296875,1626047381207409,3871,1626047441521796,1626047441523316,10113,11633,iPhone12_1
28,61014997,1626047380998431,1745,1626047442011683,0,ACTION_DOWN,60818379,60819899,28,51.54296875,51.54296875,1626047381207409,3871,1626047442021917,1626047442023437,10234,11754,iPhone12_1
29,61514997,1626047380998431,1745,1626047442511683,0,ACTION_DOWN,61318266,61319798,29,51.54296875,51.54296875,1626047381207409,3871,1626047442521804,1626047442523336,10121,11653,iPhone12_1
30,62015000,1626047380998431,1745,1626047443011686,0,ACTION_DOWN,61818222,61819743,30,51.54296875,51.54296875,1626047381207409,3871,1626047443021760,1626047443023281,10074,11595,iPhone12_1
31,62515000,1626047380998431,1745,1626047443511686,0,ACTION_DOWN,62318085,62319638,31,51.54296875,51.54296875,1626047381207409,3871,1626047443521623,1626047443523176,9937,11490,iPhone12_1
32,63014997,1626047380998431,1745,1626047444011683,0,ACTION_DOWN,62817717,62819233,32,51.54296875,51.54296875,1626047381207409,3871,1626047444021255,1626047444022771,9572,11088,iPhone12_1
33,63514997,1626047380998431,1745,1626047444511683,0,ACTION_DOWN,63318074,63319605,33,51.54296875,51.54296875,1626047381207409,3871,1626047444521612,1626047444523143,9929,11460,iPhone12_1
34,64014999,1626047380998431,1745,1626047445011685,0,ACTION_DOWN,63818068,63819589,34,51.54296875,51.54296875,1626047381207409,3871,1626047445021606,1626047445023127,9921,11442,iPhone12_1
35,64514999,1626047380998431,1745,1626047445511685,0,ACTION_DOWN,64317904,64319430,35,51.54296875,51.54296875,1626047381207409,3871,1626047445521442,1626047445522968,9757,11283,iPhone12_1
36,65014997,1626047380998431,1745,1626047446011683,0,ACTION_DOWN,64817836,64819374,36,51.54296875,51.54296875,1626047381207409,3871,1626047446021374,1626047446022912,9691,11229,iPhone12_1
37,65514997,1626047380998431,1745,1626047446511683,0,ACTION_DOWN,65317977,65319510,37,51.54296875,51.54296875,1626047381207409,3871,1626047446521515,1626047446523048,9832,11365,iPhone12_1
38,66014999,1626047380998431,1745,1626047447011685,0,ACTION_DOWN,65818119,65819639,38,51.54296875,51.54296875,1626047381207409,3871,1626047447021657,1626047447023177,9972,11492,iPhone12_1
39,66514999,1626047380998431,1745,1626047447511685,0,ACTION_DOWN,66317797,66319314,39,51.54296875,51.54296875,1626047381207409,3871,1626047447521335,1626047447522852,9650,11167,iPhone12_1
40,67014997,1626047380998431,1745,1626047448011683,0,ACTION_DOWN,66817840,66819366,40,51.54296875,51.54296875,1626047381207409,3871,1626047448021378,1626047448022904,9695,11221,iPhone12_1
41,67514997,1626047380998431,1745,1626047448511683,0,ACTION_DOWN,67317915,67319486,41,51.54296875,51.54296875,1626047381207409,3871,1626047448521453,1626047448523024,9770,11341,iPhone12_1
42,68014999,1626047380998431,1745,1626047449011685,0,ACTION_DOWN,67817943,67819487,42,51.54296875,51.54296875,1626047381207409,3871,1626047449021481,1626047449023025,9796,11340,iPhone12_1
43,68514999,1626047380998431,1745,1626047449511685,0,ACTION_DOWN,68317820,68319328,43,51.54296875,51.54296875,1626047381207409,3871,1626047449521358,1626047449522866,9673,11181,iPhone12_1
44,69014997,1626047380998431,1745,1626047450011683,0,ACTION_DOWN,68817821,68819341,44,51.54296875,51.54296875,1626047381207409,3871,1626047450021359,1626047450022879,9676,11196,iPhone12_1
45,69514997,1626047380998431,1745,1626047450511683,0,ACTION_DOWN,69317445,69318982,45,51.54296875,51.54296875,1626047381207409,3871,1626047450520983,1626047450522520,9300,10837,iPhone12_1
46,70014999,1626047380998431,1745,1626047451011685,0,ACTION_DOWN,69817567,69819148,46,51.54296875,51.54296875,1626047381207409,3871,1626047451021105,1626047451022686,9420,11001,iPhone12_1
47,70515000,1626047380998431,1745,1626047451511686,0,ACTION_DOWN,70317586,70319140,47,51.54296875,51.54296875,1626047381207409,3871,1626047451521124,1626047451522678,9438,10992,iPhone12_1
48,71014997,1626047380998431,1745,1626047452011683,0,ACTION_DOWN,70817464,70818996,48,51.54296875,51.54296875,1626047381207409,3871,1626047452021002,1626047452022534,9319,10851,iPhone12_1
49,71514997,1626047380998431,1745,1626047452511683,0,ACTION_DOWN,71317492,71319020,49,51.54296875,51.54296875,1626047381207409,3871,1626047452521030,1626047452522558,9347,10875,iPhone12_1
