index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
23,116692913,1626057997816053,1175,1626058114507791,0.0,ACTION_DOWN,116548804.0,116550047.0,22.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058114534096.0,1626058114535339.0,27548.0,26305.0,iPhone9_1
24,117205091,1626057997816053,1175,1626058115019969,0.0,ACTION_DOWN,117115501.0,117116696.0,23.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058115100793.0,1626058115101988.0,82019.0,80824.0,iPhone9_1
25,117722282,1626057997816053,1175,1626058115537160,0.0,ACTION_DOWN,117615447.0,117616597.0,24.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058115600739.0,1626058115601889.0,64729.0,63579.0,iPhone9_1
26,118243644,1626057997816053,1175,1626058116058522,0.0,ACTION_DOWN,118148803.0,118150066.0,25.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058116134095.0,1626058116135358.0,76836.0,75573.0,iPhone9_1
27,118756663,1626057997816053,1175,1626058116571541,,,,,,,,,,,,,,iPhone9_1
28,119279731,1626057997816053,1175,1626058117094609,,,,,,,,,,,,,,iPhone9_1
29,119792329,1626057997816053,1175,1626058117607207,,,,,,,,,,,,,,iPhone9_1
30,120314558,1626057997816053,1175,1626058118129436,,,,,,,,,,,,,,iPhone9_1
31,120832614,1626057997816053,1175,1626058118647492,,,,,,,,,,,,,,iPhone9_1
32,121351025,1626057997816053,1175,1626058119165903,,,,,,,,,,,,,,iPhone9_1
33,121867743,1626057997816053,1175,1626058119682621,,,,,,,,,,,,,,iPhone9_1
34,122381128,1626057997816053,1175,1626058120196006,,,,,,,,,,,,,,iPhone9_1
35,122897046,1626057997816053,1175,1626058120711924,,,,,,,,,,,,,,iPhone9_1
36,123419668,1626057997816053,1175,1626058121234546,0.0,ACTION_DOWN,123264570.0,123265872.0,26.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058121249862.0,1626058121251164.0,16618.0,15316.0,iPhone9_1
37,123937724,1626057997816053,1175,1626058121752602,0.0,ACTION_DOWN,123782543.0,123783872.0,27.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058121767835.0,1626058121769164.0,16562.0,15233.0,iPhone9_1
38,124455715,1626057997816053,1175,1626058122270593,0.0,ACTION_DOWN,124299216.0,124300349.0,28.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058122284508.0,1626058122285641.0,15048.0,13915.0,iPhone9_1
39,124969507,1626057997816053,1175,1626058122784385,0.0,ACTION_DOWN,124832655.0,124833773.0,29.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058122817947.0,1626058122819065.0,34680.0,33562.0,iPhone9_1
40,125486685,1626057997816053,1175,1626058123301563,0.0,ACTION_DOWN,125332669.0,125333840.0,30.0,25.6475830078125,25.6475830078125,1626057997993498.0,8206.0,1626058123317961.0,1626058123319132.0,17569.0,16398.0,iPhone9_1
41,126004675,1626057997816053,1175,1626058123819553,0.0,ACTION_DOWN,125882733.0,125883858.0,31.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058123868025.0,1626058123869150.0,49597.0,48472.0,iPhone9_1
42,126522246,1626057997816053,1175,1626058124337124,0.0,ACTION_DOWN,126365972.0,126367154.0,32.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058124351264.0,1626058124352446.0,15322.0,14140.0,iPhone9_1
43,127039817,1626057997816053,1175,1626058124854695,0.0,ACTION_DOWN,126882762.0,126883912.0,33.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058124868054.0,1626058124869204.0,14509.0,13359.0,iPhone9_1
44,127561587,1626057997816053,1175,1626058125376465,0.0,ACTION_DOWN,127399374.0,127400547.0,34.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058125384666.0,1626058125385839.0,9374.0,8201.0,iPhone9_1
45,128074618,1626057997816053,1175,1626058125889496,0.0,ACTION_DOWN,127916136.0,127917291.0,35.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058125901428.0,1626058125902583.0,13087.0,11932.0,iPhone9_1
46,128597673,1626057997816053,1175,1626058126412551,0.0,ACTION_DOWN,128432766.0,128433979.0,36.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058126418058.0,1626058126419271.0,6720.0,5507.0,iPhone9_1
47,129115729,1626057997816053,1175,1626058126930607,0.0,ACTION_DOWN,128949484.0,128950718.0,37.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058126934776.0,1626058126936010.0,5403.0,4169.0,iPhone9_1
48,129629102,1626057997816053,1175,1626058127443980,0.0,ACTION_DOWN,129482949.0,129484254.0,38.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058127468241.0,1626058127469546.0,25566.0,24261.0,iPhone9_1
49,130145019,1626057997816053,1175,1626058127959897,0.0,ACTION_DOWN,129982903.0,129984066.0,39.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058127968195.0,1626058127969358.0,9461.0,8298.0,iPhone9_1
